query_id	corpus_id	relevance_grade
q-001	mem-0001	3
q-001	mem-0194	3
q-001	mem-0642	2
q-001	mem-10498	2
q-001	mem-11394	2
q-001	mem-2658	1
q-001	mem-2882	1
q-001	mem-3778	1
q-002	mem-0002	3
q-002	mem-0012	3
q-002	mem-0470	2
q-002	mem-7462	2
q-002	mem-9596	2
q-002	mem-0003	1
q-002	mem-0304	1
q-002	mem-11176	1
q-003	mem-1718	3
q-003	mem-1928	3
q-003	mem-6200	2
q-003	mem-7290	2
q-003	mem-7966	2
q-003	mem-11308	1
q-003	mem-1886	1
q-003	mem-5050	1
q-004	mem-0032	3
q-004	mem-0374	3
q-004	mem-9532	2
q-004	mem-10182	2
q-004	mem-11306	2
q-004	mem-0018	1
q-004	mem-10004	1
q-004	mem-4372	1
q-005	mem-11650	3
q-005	mem-11660	3
q-005	mem-11670	2
q-005	mem-11680	2
q-005	mem-11690	2
q-005	mem-11700	1
q-005	mem-12656	1
q-005	mem-12666	1
q-006	mem-0486	3
q-006	mem-10986	3
q-006	mem-11390	2
q-006	mem-1774	2
q-006	mem-4506	2
q-006	mem-4790	1
q-006	mem-5420	1
q-006	mem-7786	1
q-007	mem-0011	3
q-007	mem-0010	3
q-007	mem-0064	2
q-007	mem-0672	2
q-007	mem-10080	2
q-007	mem-10176	1
q-007	mem-10272	1
q-007	mem-10304	1
q-008	mem-1258	3
q-008	mem-4154	3
q-008	mem-6382	2
q-008	mem-9066	2
q-008	mem-9080	2
q-008	mem-9736	1
q-008	mem-11082	1
q-008	mem-11348	1
q-009	mem-0019	3
q-009	mem-7196	3
q-009	mem-0168	2
q-009	mem-0848	2
q-009	mem-10044	2
q-009	mem-10702	1
q-009	mem-11502	1
q-009	mem-1498	1
q-010	mem-0012	3
q-010	mem-0020	3
q-010	mem-4298	2
q-010	mem-5614	2
q-010	mem-7004	2
q-010	mem-2686	1
q-010	mem-9900	1
q-010	mem-0003	1
q-011	mem-0018	3
q-011	mem-10928	3
q-011	mem-1178	2
q-011	mem-1612	2
q-011	mem-2020	2
q-011	mem-3624	1
q-011	mem-6664	1
q-011	mem-7204	1
q-012	mem-0003	3
q-012	mem-0004	3
q-012	mem-0024	2
q-012	mem-0012	2
q-012	mem-0020	2
q-012	mem-11292	1
q-012	mem-3772	1
q-012	mem-4298	1
q-013	mem-12195	3
q-013	mem-12205	3
q-013	mem-12215	2
q-013	mem-12225	2
q-013	mem-12235	2
q-013	mem-12245	1
q-013	mem-12038	1
q-013	mem-12048	1
q-014	mem-0080	3
q-014	mem-7930	3
q-014	mem-9204	2
q-014	mem-0025	2
q-014	mem-0024	2
q-014	mem-10294	1
q-014	mem-10980	1
q-014	mem-11364	1
q-015	mem-12038	3
q-015	mem-12048	3
q-015	mem-12058	2
q-015	mem-12068	2
q-015	mem-12078	2
q-015	mem-12088	1
q-015	mem-12098	1
q-015	mem-12108	1
q-016	mem-0031	3
q-016	mem-2092	3
q-016	mem-4978	2
q-016	mem-8286	2
q-016	mem-0180	2
q-016	mem-0874	1
q-016	mem-10040	1
q-016	mem-10166	1
q-017	mem-0027	3
q-017	mem-0026	3
q-017	mem-0033	2
q-017	mem-11834	2
q-017	mem-11844	2
q-017	mem-11854	1
q-017	mem-11864	1
q-017	mem-11874	1
q-018	mem-0003	3
q-018	mem-9174	3
q-018	mem-3356	2
q-018	mem-1438	2
q-018	mem-3772	2
q-018	mem-3860	1
q-018	mem-4004	1
q-018	mem-4298	1
q-019	mem-0018	3
q-019	mem-0032	3
q-019	mem-0023	2
q-019	mem-0035	2
q-019	mem-0067	2
q-019	mem-0387	1
q-019	mem-0419	1
q-019	mem-0611	1
q-020	mem-10250	3
q-020	mem-1158	3
q-020	mem-3370	2
q-020	mem-4626	2
q-020	mem-5462	2
q-020	mem-6650	1
q-020	mem-6972	1
q-020	mem-8348	1
q-021	mem-0846	3
q-021	mem-10540	3
q-021	mem-10554	2
q-021	mem-10652	2
q-021	mem-1300	2
q-021	mem-2316	1
q-021	mem-2598	1
q-021	mem-2828	1
q-022	mem-0244	3
q-022	mem-1110	3
q-022	mem-11118	2
q-022	mem-1630	2
q-022	mem-1654	2
q-022	mem-1748	1
q-022	mem-2012	1
q-022	mem-2556	1
