query_id,baseline_nDCG,cognitive_nDCG,similarity_nDCG,delta,contributing_subsystems,profile,latency_ms
q-001,0.000,0.000,0.000,0.000,,BALANCED,120
q-002,0.000,0.618,0.519,0.618,IMPORTANCE_DECAY,BALANCED,192
q-003,0.000,0.907,0.612,0.907,HEBBIAN_GRAPH|TEMPORAL_CHAIN|IMPORTANCE_DECAY,BALANCED,137
q-004,0.000,0.465,0.176,0.465,HEBBIAN_GRAPH|IMPORTANCE_DECAY,BALANCED,219
q-005,0.000,0.557,0.557,0.557,,BALANCED,168
q-006,0.000,0.872,0.440,0.872,IMPORTANCE_DECAY,BALANCED,200
q-007,0.270,0.165,0.000,-0.104,TEMPORAL_CHAIN|IMPORTANCE_DECAY,BALANCED,136
q-008,0.000,0.957,0.527,0.957,IMPORTANCE_DECAY,BALANCED,229
q-009,0.000,0.561,0.361,0.561,IMPORTANCE_DECAY,DEBUGGING,200
q-010,0.000,0.551,0.397,0.551,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH|IMPORTANCE_DECAY,RECALLING,177
q-011,0.000,0.633,0.228,0.633,HEBBIAN_GRAPH|TEMPORAL_CHAIN|IMPORTANCE_DECAY,RECALLING,161
q-012,0.428,0.780,0.702,0.353,TEMPORAL_CHAIN|ENTITY_GRAPH|IMPORTANCE_DECAY,CRITICAL,153
q-013,0.775,0.883,0.883,0.108,,CRITICAL,205
q-014,0.092,0.633,0.000,0.542,TEMPORAL_CHAIN|IMPORTANCE_DECAY,DIVERGENT,155
q-015,0.000,0.000,0.000,0.000,,DIVERGENT,154
q-016,0.000,0.114,0.000,0.114,IMPORTANCE_DECAY,THE_EXECUTOR,153
q-017,0.428,0.428,0.165,0.000,HEBBIAN_GRAPH|TEMPORAL_CHAIN|ENTITY_GRAPH|IMPORTANCE_DECAY,BALANCED,167
q-018,0.000,0.588,0.405,0.588,TEMPORAL_CHAIN|ENTITY_GRAPH|IMPORTANCE_DECAY,PARANOID_SENTINEL,196
q-019,0.000,0.428,0.000,0.428,IMPORTANCE_DECAY,BALANCED,156
q-020,0.000,0.793,0.183,0.793,IMPORTANCE_DECAY,HYPERFOCUS,202
q-021,0.000,0.549,0.000,0.549,IMPORTANCE_DECAY,DIVERGENT,185
q-022,0.000,0.507,0.291,0.507,IMPORTANCE_DECAY,SYSTEMATIZER,165
